QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:06:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
419810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
419990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
