QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:12:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, w
404400, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404410, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404420, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404430, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404441, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404450, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404460, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404470, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404481, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404490, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
