QGPIORecord, QRC v6.1.0, 22-12-2021 @ 14:56:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, trajX, trajY, trajTheta, e1, e2, e3, v, omega, -
556896, -0.298078, -0.200405, 0.000295004, -0.296997, -0.199997, 0, 0.00108141, 0.000408053, -0.000295004, 0.00540764, 0.00186167, 0
556906, -0.297675, -0.200493, 0.000312082, -0.296796, -0.199997, 0, 0.000879765, 0.000496104, -0.000312082, 0.0043996, 0.0022919, 0
556916, -0.297551, -0.200496, 0.000332346, -0.296603, -0.199997, 0, 0.000947326, 0.000499398, -0.000332346, 0.00473746, 0.00229601, 0
556925, -0.297662, -0.200499, 0.000361674, -0.296402, -0.199997, 0, 0.0012604, 0.000501558, -0.000361674, 0.00630291, 0.00228851, 0
556936, -0.297747, -0.2005, 0.000391073, -0.2962, -0.199997, 0, 0.00154701, 0.000503257, -0.000391073, 0.00773603, 0.00227862, 0
556946, -0.297588, -0.20043, 0.00041019, -0.295999, -0.199997, 0, 0.00158861, 0.000433266, -0.00041019, 0.00794395, 0.00191696, 0
556956, -0.297663, -0.200438, 0.000436315, -0.295798, -0.199997, 0, 0.0018658, 0.000441313, -0.000436315, 0.00932998, 0.0019407, 0
556965, -0.297498, -0.200446, 0.000451339, -0.295596, -0.199997, 0, 0.00190201, 0.000449136, -0.000451339, 0.00951108, 0.00197058, 0
556976, -0.297791, -0.200451, 0.00048948, -0.295404, -0.199997, 0, 0.00238705, 0.000454471, -0.00048948, 0.0119363, 0.00197282, 0
556986, -0.29759, -0.200458, 0.000503374, -0.295202, -0.199997, 0, 0.00238794, 0.000460684, -0.000503374, 0.0119409, 0.00199539, 0
556996, -0.297409, -0.200391, 0.000538083, -0.295001, -0.199997, 0, 0.00240827, 0.000394106, -0.000538083, 0.0120424, 0.0016412, 0
557005, -0.297463, -0.20033, 0.000584336, -0.2948, -0.199997, 0, 0.00266302, 0.000332832, -0.000584336, 0.0133161, 0.00130578, 0
557016, -0.297282, -0.200204, 0.000642454, -0.294598, -0.199997, 0, 0.00268337, 0.000206575, -0.000642454, 0.0134175, 0.000638782, 0
557026, -0.297334, -0.200232, 0.000649815, -0.294397, -0.199997, 0, 0.00293741, 0.000235245, -0.000649815, 0.0146878, 0.00077679, 0
557036, -0.29737, -0.200258, 0.000656962, -0.294205, -0.199997, 0, 0.00316557, 0.000261173, -0.000656962, 0.0158287, 0.000901287, 0
557046, -0.297175, -0.200283, 0.000649855, -0.294003, -0.199997, 0, 0.00317222, 0.000285611, -0.000649855, 0.015862, 0.00102783, 0
557056, -0.297215, -0.20023, 0.000703774, -0.293802, -0.199997, 0, 0.00341374, 0.000233382, -0.000703774, 0.0170695, 0.000732633, 0
557066, -0.297024, -0.200257, 0.00069122, -0.2936, -0.199997, 0, 0.00342396, 0.000260413, -0.00069122, 0.0171207, 0.000875497, 0
557076, -0.297067, -0.200281, 0.000694005, -0.293399, -0.199997, 0, 0.00366828, 0.000283912, -0.000694005, 0.0183424, 0.000990427, 0
557086, -0.296667, -0.200379, 0.000613441, -0.293197, -0.199997, 0, 0.00346908, 0.000381857, -0.000613441, 0.0173466, 0.00153058, 0
557095, -0.296741, -0.200543, 0.000491857, -0.292996, -0.199997, 0, 0.00374526, 0.000545725, -0.000491857, 0.0187276, 0.0024243, 0
557106, -0.296796, -0.20054, 0.000517305, -0.292804, -0.199997, 0, 0.00399259, 0.000542536, -0.000517305, 0.0199643, 0.00239197, 0
557116, -0.296619, -0.200536, 0.000544333, -0.292602, -0.199997, 0, 0.00401661, 0.000539333, -0.000544333, 0.0200845, 0.00235913, 0
557126, -0.296673, -0.200533, 0.000573102, -0.292401, -0.199997, 0, 0.00427237, 0.000536114, -0.000573102, 0.0213634, 0.00232447, 0
557135, -0.296711, -0.20053, 0.000603423, -0.292199, -0.199997, 0, 0.00451133, 0.000532866, -0.000603423, 0.0225582, 0.00228866, 0
557146, -0.296518, -0.200527, 0.000630245, -0.291998, -0.199997, 0, 0.00452, 0.00052993, -0.000630245, 0.0226017, 0.00225726, 0
557156, -0.296559, -0.200524, 0.000663611, -0.291797, -0.199997, 0, 0.0047625, 0.000526607, -0.000663611, 0.0238142, 0.00221907, 0
