QGPIORecord, QRC v6.1.0, 22-12-2021 @ 15:16:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, e1, e2, e3, vff, wff, vfb, wfb, v, w
130146, -0.216787, -0.198758, -0.0163167, 0.000386089, -0.0012392, 0.0163167, 0.02, 0, 0.00203128, 0.00362639, 0.0220313, 0.00362639
130156, -0.216767, -0.198764, -0.0162659, 0.000567302, -0.00123332, 0.0162659, 0.02, 0, 0.00293644, 0.0036399, 0.0229364, 0.0036399
130166, -0.216645, -0.198846, -0.0163486, 0.000646785, -0.0011514, 0.0163486, 0.02, 0, 0.00332761, 0.00410579, 0.0233276, 0.00410579
130176, -0.216531, -0.19892, -0.0164171, 0.000734344, -0.0010774, 0.0164171, 0.02, 0, 0.00375966, 0.00452429, 0.0237597, 0.00452429
130186, -0.216424, -0.19891, -0.0163434, 0.00082016, -0.0010871, 0.0163434, 0.02, 0, 0.00418908, 0.0044383, 0.0241891, 0.0044383
130196, -0.21623, -0.198901, -0.016275, 0.000827596, -0.00109595, 0.016275, 0.02, 0, 0.00422661, 0.00435334, 0.0242266, 0.00435334
130206, -0.216148, -0.198892, -0.0162011, 0.000946999, -0.00110489, 0.0162011, 0.02, 0, 0.00482387, 0.00427362, 0.0248239, 0.00427362
130215, -0.216069, -0.198884, -0.0161271, 0.00106882, -0.00111343, 0.0161271, 0.02, 0, 0.00543316, 0.00419603, 0.0254332, 0.00419603
130226, -0.216086, -0.198875, -0.0160463, 0.00128773, -0.00112212, 0.0160463, 0.02, 0, 0.00652784, 0.00412124, 0.0265278, 0.00412124
130236, -0.215997, -0.198867, -0.0159727, 0.00140011, -0.00112985, 0.0159727, 0.02, 0, 0.0070899, 0.00404693, 0.0270899, 0.00404693
130246, -0.215911, -0.19886, -0.0158988, 0.00151588, -0.00113733, 0.0158988, 0.02, 0, 0.00766885, 0.00397386, 0.0276689, 0.00397386
130256, -0.21546, -0.198855, -0.0158548, 0.00125712, -0.00114232, 0.0158548, 0.02, 0, 0.00637537, 0.00390166, 0.0263754, 0.00390166
130266, -0.215064, -0.198849, -0.0158087, 0.00106215, -0.00114752, 0.0158087, 0.02, 0, 0.00540081, 0.00383228, 0.0254008, 0.00383228
130276, -0.214806, -0.198692, -0.0154794, 0.00100511, -0.00130539, 0.0154794, 0.02, 0, 0.00512599, 0.00283926, 0.025126, 0.00283926
130286, -0.214483, -0.198701, -0.0154699, 0.000883743, -0.00129578, 0.0154699, 0.02, 0, 0.00451841, 0.00287221, 0.0245184, 0.00287221
130296, -0.214196, -0.198709, -0.0154535, 0.000798643, -0.00128771, 0.0154535, 0.02, 0, 0.00409223, 0.00289598, 0.0240922, 0.00289598
130306, -0.213852, -0.198717, -0.0154421, 0.000655398, -0.0012802, 0.0154421, 0.02, 0, 0.00337544, 0.00291562, 0.0233754, 0.00291562
130316, -0.213636, -0.198722, -0.0154145, 0.000631571, -0.00127475, 0.0154145, 0.02, 0, 0.00325572, 0.0029244, 0.0232557, 0.0029244
130326, -0.213441, -0.198727, -0.0153834, 0.000638559, -0.00127026, 0.0153834, 0.02, 0, 0.00329012, 0.00292858, 0.0232901, 0.00292858
130336, -0.213265, -0.19873, -0.0153493, 0.000663728, -0.00126663, 0.0153493, 0.02, 0, 0.00341545, 0.00292813, 0.0234155, 0.00292813
130345, -0.213104, -0.198733, -0.0153128, 0.000704587, -0.00126372, 0.0153128, 0.02, 0, 0.00361927, 0.00292374, 0.0236193, 0.00292374
130356, -0.212957, -0.198812, -0.0154095, 0.000758395, -0.00118451, 0.0154095, 0.02, 0, 0.00388278, 0.00338231, 0.0238828, 0.00338231
130366, -0.212821, -0.198807, -0.0153539, 0.000824362, -0.00119007, 0.0153539, 0.02, 0, 0.00421268, 0.00332598, 0.0242127, 0.00332598
130376, -0.212787, -0.198649, -0.0150229, 0.000982434, -0.00134759, 0.0150229, 0.02, 0, 0.00501283, 0.00235036, 0.0250128, 0.00235036
130385, -0.212307, -0.198661, -0.0150374, 0.000703737, -0.00133556, 0.0150374, 0.02, 0, 0.0036187, 0.00239832, 0.0236187, 0.00239832
130396, -0.211885, -0.198672, -0.015042, 0.000483379, -0.00132547, 0.015042, 0.02, 0, 0.00251631, 0.00243494, 0.0225163, 0.00243494
130406, -0.211599, -0.198679, -0.0150305, 0.000399202, -0.00131761, 0.0150305, 0.02, 0, 0.0020948, 0.00246104, 0.0220948, 0.00246104
130416, -0.211259, -0.198687, -0.015022, 0.000259966, -0.00131038, 0.015022, 0.02, 0, 0.0013981, 0.00248156, 0.0213981, 0.00248156
130426, -0.210957, -0.198693, -0.0150083, 0.000159472, -0.00130434, 0.0150083, 0.02, 0, 0.000895148, 0.00249599, 0.0208951, 0.00249599
