QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
526721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
