QGPIORecord, QRC v6.1.0, 04-12-2021 @ 21:54:55, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
215280, 9.1022, 9.81748, 10, 0.897797, 0.182523, 5.10216, 5.10574, 0, 0, 0, 0, 0
215290, 8.77963, 9.82449, 10, 1.22037, 0.17551, 5.1305, 5.11108, 0, 0, 0, 0, 0
215301, 9.45633, 9.46685, 10, 0.543666, 0.533147, 5.15411, 5.12166, 0, 0, 0, 0, 0
215311, 9.10922, 9.80345, 10, 0.890783, 0.196548, 5.1733, 5.13255, 0, 0, 0, 0, 0
215320, 9.46685, 9.828, 10, 0.533147, 0.172004, 5.19236, 5.13805, 0, 0, 0, 0, 0
215330, 9.47387, 9.82098, 10, 0.526134, 0.179017, 5.20653, 5.14329, 0, 0, 0, 0, 0
215341, 9.44582, 9.44582, 10, 0.554185, 0.554185, 5.22099, 5.15424, 0, 0, 0, 0, 0
215351, 9.48088, 9.81046, 10, 0.519122, 0.189535, 5.23535, 5.16534, 0, 0, 0, 0, 0
215360, 9.82449, 9.8315, 10, 0.17551, 0.168498, 5.24465, 5.17068, 0, 0, 0, 0, 0
215370, 9.45283, 9.46685, 10, 0.547172, 0.533147, 5.25432, 5.18116, 0, 0, 0, 0, 0
215380, 9.80345, 9.45283, 10, 0.196548, 0.547172, 5.26427, 5.19728, 0, 0, 0, 0, 0
215391, 9.80696, 9.80696, 10, 0.193042, 0.193042, 5.26948, 5.20833, 0, 0, 0, 0, 0
215400, 9.82449, 9.82098, 10, 0.17551, 0.179017, 5.27441, 5.21389, 0, 0, 0, 0, 0
215410, 9.48438, 9.82098, 10, 0.515615, 0.179017, 5.28366, 5.21923, 0, 0, 0, 0, 0
215420, 9.81046, 9.48438, 10, 0.189535, 0.515615, 5.2931, 5.2296, 0, 0, 0, 0, 0
215431, 9.81046, 9.80696, 10, 0.189535, 0.193042, 5.29817, 5.24018, 0, 0, 0, 0, 0
215440, 9.81046, 9.81748, 10, 0.189535, 0.182523, 5.30324, 5.24579, 0, 0, 0, 0, 0
215450, 9.47737, 9.828, 10, 0.522629, 0.172004, 5.31277, 5.25108, 0, 0, 0, 0, 0
215460, 10.1576, 9.45283, 10, -0.157582, 0.547172, 5.31766, 5.26181, 0, 0, 0, 0, 0
215471, 9.81748, 9.82098, 10, 0.182523, 0.179017, 5.31799, 5.27265, 0, 0, 0, 0, 0
215481, 9.82098, 9.80345, 10, 0.179017, 0.196548, 5.32283, 5.27826, 0, 0, 0, 0, 0
215490, 10.1541, 9.81748, 10, -0.154077, 0.182523, 5.32316, 5.28392, 0, 0, 0, 0, 0
215500, 10.1751, 9.82449, 10, -0.175114, 0.17551, 5.31876, 5.28926, 0, 0, 0, 0, 0
215511, 9.828, 9.80696, 10, 0.172004, 0.193042, 5.31872, 5.29476, 0, 0, 0, 0, 0
215521, 10.1576, 9.82098, 10, -0.157582, 0.179017, 5.31891, 5.30032, 0, 0, 0, 0, 0
215530, 10.1611, 9.80345, 10, -0.161089, 0.196548, 5.31465, 5.30592, 0, 0, 0, 0, 0
215540, 10.5257, 9.8315, 10, -0.525738, 0.168498, 5.30546, 5.31137, 0, 0, 0, 0, 0
215550, 10.1576, 9.80696, 10, -0.157582, 0.193042, 5.29631, 5.31677, 0, 0, 0, 0, 0
215561, 10.1716, 9.82098, 10, -0.171608, 0.179017, 5.29191, 5.32232, 0, 0, 0, 0, 0
215570, 9.81046, 9.80345, 10, 0.189535, 0.196548, 5.29215, 5.32793, 0, 0, 0, 0, 0
215580, 10.1681, 9.828, 10, -0.168101, 0.172004, 5.29243, 5.33343, 0, 0, 0, 0, 0
215590, 9.82098, 9.47387, 10, 0.179017, 0.526134, 5.29258, 5.34385, 0, 0, 0, 0, 0
215601, 9.81046, 10.5117, 10, 0.189535, -0.511713, 5.29751, 5.34407, 0, 0, 0, 0, 0
215610, 10.1681, 10.1611, 10, -0.168101, -0.161089, 5.2978, 5.33403, 0, 0, 0, 0, 0
215620, 9.82449, 9.80696, 10, 0.17551, 0.193042, 5.2979, 5.3345, 0, 0, 0, 0, 0
215630, 10.5047, 9.828, 10, -0.504701, 0.172004, 5.29349, 5.33995, 0, 0, 0, 0, 0
215641, 10.1716, 10.1681, 10, -0.171608, -0.168101, 5.28444, 5.34001, 0, 0, 0, 0, 0
215651, 10.1681, 10.1576, 10, -0.168101, -0.157582, 5.2799, 5.33515, 0, 0, 0, 0, 0
215660, 10.1541, 9.81046, 10, -0.154077, 0.189535, 5.27558, 5.33563, 0, 0, 0, 0, 0
