QGPIORecord, QRC v6.1.0, 22-11-2021 @ 10:56:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, rA, VoltageState, PositionB, VelocitiyB, CurrentA, CurrentB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
166740, 0, 0, 1, 0, 0, 0.050664, -0.00298024, 0, 0, 0, 0, 0
166750, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
166760, 0, 0, 1, 0, 0, 0.0447035, 0.0536442, 0, 0, 0, 0, 0
166770, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
166780, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
166791, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
166800, 0, 0, 1, 0, 0, -0.00596047, 0.0476838, 0, 0, 0, 0, 0
166810, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
166820, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
166831, 0, 0, 1, 0, 0, 0.0357628, -0.00894071, 0, 0, 0, 0, 0
166840, 0, 0, 1, 0, 0, 0.00894071, -0.00298024, 0, 0, 0, 0, 0
166850, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
166860, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
166871, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
166880, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
166890, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
166900, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
166910, 0, 0, 1, 0, 0, -0.00596047, 0.0327826, 0, 0, 0, 0, 0
166920, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
166930, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
166940, 0, 0, 1, 0, 0, 0.00894071, -0.00894071, 0, 0, 0, 0, 0
166950, 0, 0, 1, 0, 0, 0.0387431, 0.00298024, 0, 0, 0, 0, 0
166961, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
166970, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
166980, 0, 0, 1, 0, 0, -0.00894071, 0.0476838, 0, 0, 0, 0, 0
166990, 0, 0, 1, 0, 0, -0.00298024, -0.0119209, 0, 0, 0, 0, 0
167001, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167010, 0, 0, 1, 0, 0, 0.0149012, -0.00596047, 0, 0, 0, 0, 0
167020, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
167030, 0, 0, 1, 0, 0, -0.00298024, -0.00596047, 0, 0, 0, 0, 0
167041, 0, 0, 1, 0, 0, -0.00298024, -0.00596047, 0, 0, 0, 0, 0
167050, 0, 0, 1, 0, 0, 0.0447035, 0, 0, 0, 0, 0, 0
167060, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167070, 0, 0, 1, 0, 0, -0.0119209, -0.0119209, 0, 0, 0, 0, 0
167080, 0, 0, 1, 0, 0, 0.00298024, -0.00596047, 0, 0, 0, 0, 0
167091, 0, 0, 1, 0, 0, -0.00298024, 0.0387431, 0, 0, 0, 0, 0
167100, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167110, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167120, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167131, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
167140, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
