QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
67660, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67671, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67680, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67690, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67700, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67710, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67720, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67730, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67740, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67750, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67760, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67770, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67780, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67790, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67801, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67810, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67820, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67830, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67841, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67850, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67860, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67870, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67880, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67890, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
