QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:08:37, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
17350, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17360, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17371, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17380, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17390, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17400, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17411, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17420, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17430, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17440, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17451, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17460, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17470, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17480, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17490, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17501, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17510, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17520, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17530, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17541, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17550, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17560, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17570, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17581, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17590, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17600, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17610, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17620, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17630, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17640, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17650, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17660, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17671, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17680, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17690, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17700, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17711, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17720, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17730, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17740, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17751, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17760, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17770, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17780, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17790, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17800, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17810, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
17820, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17830, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17841, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17850, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
17860, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17870, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17881, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17890, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
