QGPIORecord, QRC v6.1.0, 15-12-2021 @ 22:14:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
66674, -0.381866, -0.26911, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66683, -0.381911, -0.26876, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
66694, -0.381941, -0.268976, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66704, -0.380907, -0.26912, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.194408, 0
66714, -0.381272, -0.268766, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
66723, -0.381515, -0.26898, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66734, -0.379592, -0.269123, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.286147, 0.194408, 0
66744, -0.380395, -0.268768, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
66754, -0.380931, -0.268982, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
66764, -0.381288, -0.270992, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66774, -0.378433, -0.272332, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.283122, 0.20001, 0
66784, -0.379622, -0.273225, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66794, -0.380415, -0.27382, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66804, -0.380944, -0.274217, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66813, -0.378203, -0.274482, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.283122, 0.20001, 0
66824, -0.37947, -0.274658, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66834, -0.380314, -0.274776, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66844, -0.380876, -0.274854, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66853, -0.380197, -0.274906, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.20001, 0
66864, -0.380799, -0.274941, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66874, -0.3812, -0.274964, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66884, -0.381467, -0.27498, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66894, -0.381645, -0.274512, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.198578, 0
66904, -0.38071, -0.274678, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.20001, 0
66914, -0.38114, -0.274789, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66924, -0.381427, -0.274863, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66934, -0.380565, -0.274912, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.20001, 0
66944, -0.381044, -0.274945, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66954, -0.381363, -0.274967, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66964, -0.381576, -0.274033, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.197167, 0
66974, -0.381718, -0.274359, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66983, -0.381812, -0.274576, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
66994, -0.381875, -0.274721, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
67004, -0.378824, -0.274818, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.283122, 0.20001, 0
67014, -0.379883, -0.274882, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
67023, -0.380589, -0.274925, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
67034, -0.380006, -0.274953, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.20001, 0
67044, -0.380671, -0.275457, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.201465, 0
67054, -0.381115, -0.274831, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.198578, 0
67064, -0.38141, -0.274891, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
67074, -0.381607, -0.273983, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.197167, 0
67084, -0.381739, -0.274325, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
67094, -0.381826, -0.274554, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.20001, 0
67104, -0.377805, -0.274228, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.198578, 0
67115, -0.379204, -0.272171, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.193059, 0
67124, -0.380137, -0.27125, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
67134, -0.379704, -0.270636, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.289239, 0.194408, 0
67144, -0.38047, -0.270227, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.292402, 0.194408, 0
67153, -0.374067, -0.269954, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.271662, 0.194408, 0
