QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:55:42, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
2037500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2037990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038130, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038140, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038151, 0.0631124, 6.30422, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038160, 0.192843, 12.9731, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038170, 0.35413, 16.1217, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038180, 0.529442, 17.5312, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038191, 0.711767, 18.2325, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038200, 0.894092, 18.5971, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038210, 1.08343, 18.5585, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038220, 1.27277, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038231, 1.4586, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038240, 1.65144, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038250, 1.83727, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038260, 2.02661, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038270, 2.21594, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038281, 2.40879, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038290, 2.59813, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038300, 2.78746, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038310, 2.9768, 18.9232, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038321, 3.16614, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038330, 3.35547, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038340, 3.54481, 18.9477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038350, 3.73415, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038361, 3.92348, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038370, 4.11282, 18.9162, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038380, 4.30216, 18.9407, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038390, 4.4915, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038401, 4.68083, 18.9337, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2038410, 4.87017, 19.2738, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
