QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:51:24, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
577220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577310, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577320, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577411, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577430, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577470, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577520, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577581, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
