QGPIORecord, QRC v6.1.0, 17-12-2021 @ 17:04:02, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
28240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
