QGPIORecord, QRC v6.1.0, 17-12-2021 @ 17:00:05, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
26082, -0.163297, -0.265138, -1.60396, 0.521123, 0.037952, 0.450798, 1.85605, 0.67587, 47.1435, 0.156633, 0.148539, 0
26092, -0.163303, -0.265338, -1.60396, 0.522867, 0.0380747, 0.451789, 1.86547, 0.675558, 47.2435, 0.156633, 0.148539, 0
26102, -0.16331, -0.265538, -1.60396, 0.524615, 0.0381973, 0.45278, 1.87492, 0.675245, 47.3435, 0.156633, 0.148539, 0
26112, -0.163317, -0.265738, -1.60396, 0.526366, 0.0383198, 0.453771, 1.88438, 0.674931, 47.4435, 0.156633, 0.148539, 0
26122, -0.163323, -0.265938, -1.60396, 0.528121, 0.0384421, 0.454762, 1.89386, 0.674616, 47.5435, 0.156633, 0.148539, 0
26132, -0.16333, -0.266138, -1.60396, 0.52988, 0.0385644, 0.455753, 1.90337, 0.674301, 47.6435, 0.156633, 0.148539, 0
26142, -0.163337, -0.266338, -1.60396, 0.531643, 0.0386865, 0.456744, 1.91289, 0.673985, 47.7435, 0.156633, 0.148539, 0
26152, -0.163343, -0.266538, -1.60396, 0.53341, 0.0388084, 0.457735, 1.92244, 0.673668, 47.8435, 0.156633, 0.148539, 0
26162, -0.16335, -0.266737, -1.60396, 0.53518, 0.0389303, 0.458726, 1.932, 0.673351, 47.9435, 0.156633, 0.148539, 0
26172, -0.163356, -0.266937, -1.60396, 0.536954, 0.039052, 0.459717, 1.94158, 0.673033, 48.0435, 0.156633, 0.148539, 0
26182, -0.163363, -0.267137, -1.60396, 0.538732, 0.0391736, 0.460708, 1.95119, 0.672714, 48.1435, 0.156633, 0.148539, 0
26192, -0.16337, -0.267337, -1.60396, 0.540514, 0.0392951, 0.461699, 1.96081, 0.672395, 48.2435, 0.156633, 0.148539, 0
26202, -0.163376, -0.267537, -1.60396, 0.5423, 0.0394164, 0.46269, 1.97045, 0.672075, 48.3435, 0.156633, 0.148539, 0
26212, -0.163383, -0.267737, -1.60396, 0.54409, 0.0395376, 0.463681, 1.98012, 0.671755, 48.4435, 0.156633, 0.148539, 0
26222, -0.16339, -0.267937, -1.60396, 0.545883, 0.0396587, 0.464673, 1.9898, 0.671433, 48.5435, 0.156633, 0.148539, 0
26232, -0.163396, -0.268137, -1.60396, 0.547681, 0.0397797, 0.465664, 1.9995, 0.671111, 48.6435, 0.156633, 0.148539, 0
26242, -0.163403, -0.268337, -1.60396, 0.549482, 0.0399005, 0.466655, 2.00923, 0.670789, 48.7435, 0.156633, 0.148539, 0
26252, -0.16341, -0.268536, -1.60396, 0.551287, 0.0400212, 0.467646, 2.01897, 0.670466, 48.8435, 0.156633, 0.148539, 0
26262, -0.163416, -0.268736, -1.60396, 0.553097, 0.0401417, 0.468637, 2.02873, 0.670142, 48.9435, 0.156633, 0.148539, 0
26272, -0.163423, -0.268936, -1.60396, 0.55491, 0.0402622, 0.469628, 2.03852, 0.669817, 49.0435, 0.156633, 0.148539, 0
26283, -0.163429, -0.269136, -1.60396, 0.556726, 0.0403825, 0.470619, 2.04832, 0.669492, 49.1435, 0.156633, 0.148539, 0
26292, -0.163436, -0.269336, -1.60396, 0.558547, 0.0405027, 0.47161, 2.05814, 0.669166, 49.2435, 0.156633, 0.148539, 0
26302, -0.163443, -0.269536, -1.60396, 0.560372, 0.0406227, 0.472601, 2.06799, 0.668839, 49.3435, 0.156633, 0.148539, 0
26312, -0.163449, -0.269736, -1.60396, 0.562201, 0.0407426, 0.473592, 2.07785, 0.668512, 49.4435, 0.156633, 0.148539, 0
26322, -0.163456, -0.269936, -1.60396, 0.564033, 0.0408624, 0.474584, 2.08773, 0.668184, 49.5434, 0.156633, 0.148539, 0
26332, -0.163463, -0.270135, -1.60396, 0.56587, 0.0409821, 0.475575, 2.09764, 0.667856, 49.6434, 0.156633, 0.148539, 0
26342, -0.163469, -0.270335, -1.60396, 0.56771, 0.0411016, 0.476566, 2.10756, 0.667527, 49.7434, 0.156633, 0.148539, 0
26352, -0.163476, -0.270535, -1.60396, 0.569555, 0.041221, 0.477557, 2.1175, 0.667197, 49.8434, 0.156633, 0.148539, 0
26362, -0.163482, -0.270735, -1.60396, 0.571403, 0.0413402, 0.478548, 2.12747, 0.666866, 49.9434, 0.156633, 0.148539, 0
26372, -0.163489, -0.270935, -1.60396, 0.573256, 0.0414594, 0.479539, 2.13745, 0.666535, 50.0434, 0.156633, 0.148539, 0
26382, -0.163496, -0.271135, -1.60396, 0.575112, 0.0415783, 0.48053, 2.14745, 0.666203, 50.1434, 0.156633, 0.148539, 0
