QGPIORecord, QRC v6.1.0, 15-12-2021 @ 15:54:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, FDR, rA, rB, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
577711, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577720, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577730, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577740, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577751, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577760, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577770, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577780, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577790, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577800, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577810, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577820, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577830, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577840, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577850, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577860, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577870, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577881, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577890, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577900, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577910, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577921, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577930, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577940, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577950, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577960, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577970, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577980, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577990, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578000, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578010, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578020, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578030, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578040, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578051, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578060, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578070, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578080, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578091, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578100, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578110, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578120, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578130, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578140, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578150, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578160, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578170, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578180, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578190, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578200, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578210, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578221, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578230, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578240, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578250, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578260, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578270, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578280, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578290, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578300, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578310, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578320, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578330, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578340, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578351, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578360, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578370, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578380, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578391, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578400, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578410, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578420, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578430, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578440, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578450, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578460, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578470, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578480, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578490, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
