QGPIORecord, QRC v6.1.0, 10-11-2021 @ 15:53:57, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1932950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1932990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933210, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933220, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933231, 0.0385687, 3.85687, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933240, 0.126225, 8.75859, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933250, 0.231412, 10.8729, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933260, 0.347118, 11.22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933271, 0.469836, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933280, 0.589049, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933290, 0.715273, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933300, 0.837992, 12.2789, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933310, 0.964217, 12.6155, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933321, 1.08693, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933330, 1.20965, 12.6225, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933340, 1.33588, 12.2789, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933350, 1.4586, 12.6225, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933361, 1.58482, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933370, 1.70754, 12.2789, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933380, 1.83026, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933390, 1.95648, 12.6155, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933401, 2.0792, 12.6155, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933410, 2.20543, 12.2718, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933420, 2.33165, 12.6295, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933430, 2.45437, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933441, 2.58059, 12.6225, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933450, 2.70331, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933460, 2.82603, 12.626, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933470, 2.95226, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933480, 3.07848, 12.6225, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933491, 3.2012, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933500, 3.32742, 12.626, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933510, 3.45014, 12.2543, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933520, 3.57637, 12.626, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933531, 3.69909, 12.2789, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933540, 3.82531, 12.612, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933550, 3.94803, 12.2859, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933560, 4.07425, 12.612, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
